id,title,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,belongs_to_collection,missingness_score,has_tagline,has_homepage,num_same_title,changed_title,num_genres,main_genre,Comedy,Drama,Documentary,Science Fiction,Western,TV Movie,Mystery,Romance,Thriller,Animation,Family,Adventure,War,Music,History,Action,Fantasy,Crime,Horror,top10_prod_comps,num_production_companies,main_production_country,num_production_countries,num_spoken_languages,lang_group,is_english_spoken,popularity_percentile,weighted_rating,release_year,Season,return_on_investment_ratio,profit_loss
123,The Lord of the Rings,132,1978-11-15,4000000,30500000,3.2136,6.6,963,0,0,1,0,1,False,3,Adventure,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Other,4,United Kingdom,2,1,1,True,53.833015171305135,6.599721698205633,1978,Fall,6.625,26500000
128,Princess Mononoke,134,1997-07-12,23500000,176506186,13.4397,8.328,8300,0,0,1,1,1,True,3,Adventure,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Other,7,Japan,1,1,1,False,95.46870290364714,8.327759512958707,1997,Summer,6.510901531914894,153006186
129,Spirited Away,125,2001-07-20,19000000,274925095,24.2467,8.537,17064,0,0,1,1,1,True,3,Animation,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,Other,1,Japan,1,1,1,False,98.84456947653973,8.53687077158337,2001,Summer,13.469741842105263,255925095
134,"O Brother, Where Art Thou?",107,2000-08-30,26000000,71900000,3.9176,7.32,4250,0,0,1,0,1,False,3,Adventure,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,Universal Pictures,5,France,3,1,1,True,63.00612880538531,7.319767517541809,2000,Summer,1.7653846153846153,45900000
137,Groundhog Day,101,1993-02-11,14600000,71108778,6.7528,7.615,8224,0,0,1,0,1,False,4,Romance,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,Columbia Pictures,1,United States of America,1,3,3,True,82.70873103586858,7.614843977759299,1993,Winter,3.8704642465753425,56508778
138,Dracula,74,1931-02-12,355000,700000,3.444,7.151,1248,1,0,1,0,2,False,1,Horror,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Universal Pictures,1,United States of America,1,3,3,True,57.01798452727821,7.150344048895301,1931,Winter,0.971830985915493,345000
140,Bad Education,105,2004-03-19,5000000,40266982,2.0924,7.371,981,0,0,0,1,1,True,2,Drama,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Other,1,Spain,1,2,2,False,35.37124485079875,7.3699416670776285,2004,Spring,7.0533964,35266982
141,Donnie Darko,114,2001-01-19,4500000,7500000,19.3428,7.77,12698,1,0,1,1,1,False,3,Fantasy,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,Other,5,United States of America,1,1,1,True,98.11112227469104,7.769886740457533,2001,Winter,0.6666666666666666,3000000
142,Brokeback Mountain,134,2005-10-22,14000000,178043761,10.669,7.784,7129,0,0,1,1,1,False,2,Drama,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Other,3,Canada,2,1,1,True,92.60524464985431,7.783796313754591,2005,Fall,11.7174115,164043761
143,All Quiet on the Western Front,133,1930-04-29,1448864,3270000,2.8858,7.751,830,1,0,1,0,1,False,2,Drama,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Universal Pictures,1,United States of America,1,4,4+,True,48.88475836431227,7.749292078303527,1930,Spring,1.256940610022749,1821136
144,Wings of Desire,128,1987-09-23,2500000,3210139,3.0707,7.771,1366,1,0,1,1,1,True,3,Drama,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,Other,3,France,2,7,4+,True,51.733145785190395,7.7699471229482295,1987,Fall,0.2840556,710139
